burnout_level,profile_type,high_burnout,age_norm,experience_years_norm,daily_work_hours_norm,sleep_hours_norm,caffeine_intake_norm,bugs_per_day_norm,commits_per_day_norm,meetings_per_day_norm,screen_time_norm,exercise_hours_norm,stress_level_norm,sleep_quality_norm,workload_index_norm,age_scaled_norm,experience_years_scaled_norm,daily_work_hours_scaled_norm,sleep_hours_scaled_norm,caffeine_intake_scaled_norm,bugs_per_day_scaled_norm,commits_per_day_scaled_norm,meetings_per_day_scaled_norm,screen_time_scaled_norm,exercise_hours_scaled_norm,stress_level_scaled_norm
Medium,Riesgo,0,0.20833,0.94737,0.382,0.148,0.0,0.94737,0.93103,0.11111,0.50369,0.555,0.5808,0.13999,0.66779,0.20833,0.94737,0.382,0.148,0.0,0.94737,0.93103,0.11111,0.50369,0.555,0.5808
Medium,Riesgo,0,0.75,0.63158,0.447,0.042,0.0,0.47368,0.72414,0.77778,0.36505,0.9,0.5305,0.14698,0.68154,0.75,0.63158,0.447,0.042,0.0,0.47368,0.72414,0.77778,0.36505,0.9,0.5305
High,Riesgo,1,1.0,0.84211,0.256,0.064,1.0,0.52632,0.2069,0.88889,0.27235,0.095,0.7416,0.19482,0.3451,1.0,0.84211,0.256,0.064,1.0,0.52632,0.2069,0.88889,0.27235,0.095,0.7416
Medium,Riesgo,0,0.04167,0.42105,0.661,0.942,0.71429,0.36842,0.41379,1.0,0.78589,0.155,0.674,0.29158,0.57877,0.04167,0.42105,0.661,0.942,0.71429,0.36842,0.41379,1.0,0.78589,0.155,0.674
Low,Riesgo,0,0.58333,0.84211,0.365,0.984,0.0,0.47368,0.24138,0.33333,0.31091,0.655,0.1484,0.57401,0.28357,0.58333,0.84211,0.365,0.984,0.0,0.47368,0.24138,0.33333,0.31091,0.655,0.1484
High,Riesgo,1,0.41667,0.05263,0.786,0.094,0.42857,0.52632,0.24138,0.22222,0.68827,0.295,0.7025,0.07437,0.35145,0.41667,0.05263,0.786,0.094,0.42857,0.52632,0.24138,0.22222,0.68827,0.295,0.7025
Medium,Riesgo,0,0.29167,0.94737,0.122,0.336,1.0,0.78947,0.27586,0.33333,0.04102,0.17,0.6572,0.51361,0.25333,0.29167,0.94737,0.122,0.336,1.0,0.78947,0.27586,0.33333,0.04102,0.17,0.6572
Low,Riesgo,0,0.75,0.94737,0.116,0.114,0.28571,0.15789,0.96552,0.66667,0.13372,0.18,0.3407,0.29936,0.73842,0.75,0.94737,0.116,0.114,0.28571,0.15789,0.96552,0.66667,0.13372,0.18,0.3407
Low,Riesgo,0,0.5,0.31579,0.204,0.834,0.28571,0.05263,0.82759,0.0,0.21821,0.495,0.0874,0.59295,0.54557,0.5,0.31579,0.204,0.834,0.28571,0.05263,0.82759,0.0,0.21821,0.495,0.0874
Low,Riesgo,0,0.45833,0.47368,0.084,0.496,0.14286,0.63158,0.2069,0.11111,0.03117,0.585,0.1703,0.62675,0.16071,0.45833,0.47368,0.084,0.496,0.14286,0.63158,0.2069,0.11111,0.03117,0.585,0.1703
Medium,Riesgo,0,0.16667,0.47368,0.62,0.622,0.42857,0.31579,0.82759,1.0,0.43888,0.905,0.6969,0.33977,0.82385,0.16667,0.47368,0.62,0.622,0.42857,0.31579,0.82759,1.0,0.43888,0.905,0.6969
Medium,Riesgo,0,0.20833,1.0,0.147,0.54,0.28571,0.84211,0.72414,0.44444,0.23872,0.51,0.4089,0.43472,0.55466,0.20833,1.0,0.147,0.54,0.28571,0.84211,0.72414,0.44444,0.23872,0.51,0.4089
Medium,Riesgo,0,0.875,0.42105,0.16,0.71,0.14286,0.63158,0.27586,0.88889,0.15997,0.69,0.3866,0.59183,0.3671,0.875,0.42105,0.16,0.71,0.14286,0.63158,0.27586,0.88889,0.15997,0.69,0.3866
Low,Riesgo,0,0.125,0.84211,0.014,0.32,0.57143,0.47368,0.34483,0.55556,0.0,0.18,0.1974,0.55453,0.31508,0.125,0.84211,0.014,0.32,0.57143,0.47368,0.34483,0.55556,0.0,0.18,0.1974
Medium,Riesgo,0,0.75,0.73684,0.782,0.138,0.28571,0.63158,0.03448,0.22222,0.85316,0.715,0.5816,0.05474,0.22373,0.75,0.73684,0.782,0.138,0.28571,0.63158,0.03448,0.22222,0.85316,0.715,0.5816
Medium,Riesgo,0,0.79167,0.05263,0.812,0.018,0.71429,0.47368,0.89655,0.22222,0.78753,0.65,0.6473,0.03341,0.75872,0.79167,0.05263,0.812,0.018,0.71429,0.47368,0.89655,0.22222,0.78753,0.65,0.6473
Low,Riesgo,0,0.0,0.15789,0.162,0.446,0.28571,0.31579,0.58621,0.66667,0.11813,0.215,0.1694,0.49421,0.51554,0.0,0.15789,0.162,0.446,0.28571,0.31579,0.58621,0.66667,0.11813,0.215,0.1694
Medium,Riesgo,0,0.79167,0.94737,0.74,0.908,0.57143,0.47368,1.0,0.22222,0.82034,0.67,0.53795,0.27022,0.80694,0.79167,0.94737,0.74,0.908,0.57143,0.47368,1.0,0.22222,0.82034,0.67,0.53795
High,Riesgo,1,0.66667,0.84211,0.434,0.306,0.57143,0.78947,0.72414,1.0,0.36833,0.21,0.8935,0.25251,0.72108,0.66667,0.84211,0.434,0.306,0.57143,0.78947,0.72414,1.0,0.36833,0.21,0.8935
Low,Riesgo,0,0.45833,0.52632,0.24,0.196,0.57143,0.10526,0.06897,0.22222,0.20098,0.595,0.281,0.29627,0.13026,0.45833,0.52632,0.24,0.196,0.57143,0.10526,0.06897,0.22222,0.20098,0.595,0.281
Low,Riesgo,0,0.58333,0.31579,0.621,0.926,0.57143,0.15789,0.58621,1.0,0.73257,0.67,0.3398,0.30695,0.67604,0.58333,0.31579,0.621,0.926,0.57143,0.15789,0.58621,1.0,0.73257,0.67,0.3398
Medium,Riesgo,0,0.0,0.89474,0.178,0.492,0.14286,0.15789,0.51724,0.66667,0.13454,0.695,0.4646,0.50283,0.47663,0.0,0.89474,0.178,0.492,0.14286,0.15789,0.51724,0.66667,0.13454,0.695,0.4646
High,Riesgo,1,0.54167,0.31579,0.757,0.052,0.28571,0.15789,0.24138,0.88889,0.83921,0.91,0.741,0.03413,0.47219,0.54167,0.31579,0.757,0.052,0.28571,0.15789,0.24138,0.88889,0.83921,0.91,0.741
Medium,Riesgo,0,0.20833,0.84211,0.048,0.88,0.28571,0.78947,0.75862,0.88889,0.23216,0.95,0.581,0.60091,0.63946,0.20833,0.84211,0.048,0.88,0.28571,0.78947,0.75862,0.88889,0.23216,0.95,0.581
Medium,Riesgo,0,0.16667,0.31579,0.959,0.7,0.0,0.42105,0.24138,0.22222,0.81788,0.81,0.6292,0.21434,0.38803,0.16667,0.31579,0.959,0.7,0.0,0.42105,0.24138,0.22222,0.81788,0.81,0.6292
Medium,Riesgo,0,0.41667,0.15789,0.072,0.422,0.71429,0.26316,0.17241,0.77778,0.0,0.88,0.5028,0.62275,0.2639,0.41667,0.15789,0.072,0.422,0.71429,0.26316,0.17241,0.77778,0.0,0.88,0.5028
Medium,Riesgo,0,0.125,0.36842,0.579,0.752,0.28571,0.47368,0.82759,0.0,0.4315,0.02,0.439,0.39295,0.62487,0.125,0.36842,0.579,0.752,0.28571,0.47368,0.82759,0.0,0.4315,0.02,0.439
Medium,Riesgo,0,0.5,0.63158,0.902,0.742,0.85714,0.15789,0.82759,0.77778,0.7055,0.365,0.6185,0.26304,0.84119,0.5,0.63158,0.902,0.742,0.85714,0.15789,0.82759,0.77778,0.7055,0.365,0.6185
Low,Riesgo,0,0.41667,0.15789,0.012,0.04,0.0,0.57895,0.03448,0.11111,0.23134,0.04,0.3101,0.20356,0.03975,0.41667,0.15789,0.012,0.04,0.0,0.57895,0.03448,0.11111,0.23134,0.04,0.3101
Low,Riesgo,0,0.08333,0.26316,0.499,0.676,0.57143,0.47368,0.51724,0.33333,0.4717,0.51,0.258,0.34247,0.48107,0.08333,0.26316,0.499,0.676,0.57143,0.47368,0.51724,0.33333,0.4717,0.51,0.258
Medium,Riesgo,0,0.0,0.21053,0.35,0.64,0.71429,0.57895,0.86207,0.66667,0.22724,0.38,0.5329,0.49151,0.72447,0.0,0.21053,0.35,0.64,0.71429,0.57895,0.86207,0.66667,0.22724,0.38,0.5329
Medium,Riesgo,0,0.20833,0.57895,0.58,0.964,0.71429,0.94737,0.68966,0.55556,0.58819,0.87,0.6557,0.3823,0.64623,0.20833,0.57895,0.58,0.964,0.71429,0.94737,0.68966,0.55556,0.58819,0.87,0.6557
Medium,Riesgo,0,0.70833,0.15789,0.225,0.966,0.57143,0.94737,0.27586,0.88889,0.18212,0.51,0.6848,0.69782,0.38084,0.70833,0.15789,0.225,0.966,0.57143,0.94737,0.27586,0.88889,0.18212,0.51,0.6848
Low,Riesgo,0,0.95833,0.42105,0.065,0.492,0.14286,0.0,0.62069,0.77778,0.05989,0.65,0.1826,0.58646,0.53732,0.95833,0.42105,0.065,0.492,0.14286,0.0,0.62069,0.77778,0.05989,0.65,0.1826
Medium,Riesgo,0,0.375,0.15789,0.626,0.59,1.0,0.15789,0.68966,0.11111,0.49549,0.365,0.3844,0.2998,0.57137,0.375,0.15789,0.626,0.59,1.0,0.15789,0.68966,0.11111,0.49549,0.365,0.3844
Medium,Riesgo,0,0.16667,0.94737,0.417,0.142,1.0,0.63158,0.48276,0.33333,0.52174,0.605,0.4898,0.13234,0.44259,0.16667,0.94737,0.417,0.142,1.0,0.63158,0.48276,0.33333,0.52174,0.605,0.4898
,Riesgo,0,0.91667,0.68421,0.622,0.066,0.0,0.36842,0.7931,0.0,0.4397,0.815,0.321,0.13056,0.61281,0.91667,0.68421,0.622,0.066,0.0,0.36842,0.7931,0.0,0.4397,0.815,0.321
Medium,Riesgo,0,0.5,0.21053,0.211,0.432,0.28571,0.68421,0.03448,0.55556,0.24692,0.3,0.4867,0.37813,0.16642,0.5,0.21053,0.211,0.432,0.28571,0.68421,0.03448,0.55556,0.24692,0.3,0.4867
Low,Riesgo,0,0.45833,0.89474,0.339,0.69,0.0,0.78947,0.48276,0.33333,0.23626,0.51,0.2981,0.50732,0.42609,0.45833,0.89474,0.339,0.69,0.0,0.78947,0.48276,0.33333,0.23626,0.51,0.2981
Low,Riesgo,0,0.04167,0.47368,0.562,0.568,0.57143,0.05263,0.72414,0.77778,0.57178,0.215,0.2337,0.25925,0.70586,0.04167,0.47368,0.562,0.568,0.57143,0.05263,0.72414,0.77778,0.57178,0.215,0.2337
Medium,Riesgo,0,0.5,0.94737,0.593,0.43,0.57143,0.36842,0.34483,0.11111,0.52912,0.92,0.4073,0.22941,0.35293,0.5,0.94737,0.593,0.43,0.57143,0.36842,0.34483,0.11111,0.52912,0.92,0.4073
Medium,Riesgo,0,0.29167,0.57895,0.372,0.818,0.85714,0.63158,0.65517,0.77778,0.24364,0.03,0.5828,0.56064,0.62339,0.29167,0.57895,0.372,0.818,0.85714,0.63158,0.65517,0.77778,0.24364,0.03,0.5828
Low,Riesgo,0,0.04167,0.89474,0.28,0.794,1.0,0.0,0.37931,0.11111,0.31009,0.545,0.0882,0.49279,0.30789,0.04167,0.89474,0.28,0.794,1.0,0.0,0.37931,0.11111,0.31009,0.545,0.0882
Medium,Riesgo,0,0.79167,0.84211,0.274,0.732,0.14286,0.57895,0.48276,0.77778,0.34126,0.985,0.3985,0.44328,0.49693,0.79167,0.84211,0.274,0.732,0.14286,0.57895,0.48276,0.77778,0.34126,0.985,0.3985
Medium,Riesgo,0,0.0,0.52632,0.175,0.078,1.0,0.84211,0.51724,0.0,0.15422,0.61,0.4653,0.26633,0.34912,0.0,0.52632,0.175,0.078,1.0,0.84211,0.51724,0.0,0.15422,0.61,0.4653
Low,Riesgo,0,0.16667,0.10526,0.325,0.796,0.71429,0.31579,1.0,0.11111,0.44709,0.555,0.3455,0.40028,0.69803,0.16667,0.10526,0.325,0.796,0.71429,0.31579,1.0,0.11111,0.44709,0.555,0.3455
Low,Riesgo,0,0.33333,0.84211,0.199,0.92,0.71429,0.78947,0.93103,0.44444,0.21411,0.68,0.3338,0.63877,0.69254,0.33333,0.84211,0.199,0.92,0.71429,0.78947,0.93103,0.44444,0.21411,0.68,0.3338
Medium,Riesgo,0,0.66667,0.0,0.634,0.06,0.57143,0.68421,0.17241,0.0,0.69565,0.29,0.5738,0.06262,0.23472,0.66667,0.0,0.634,0.06,0.57143,0.68421,0.17241,0.0,0.69565,0.29,0.5738
Medium,Riesgo,0,0.33333,0.73684,0.569,0.402,0.0,0.47368,0.06897,0.44444,0.58655,0.055,0.4628,0.19906,0.24212,0.33333,0.73684,0.569,0.402,0.0,0.47368,0.06897,0.44444,0.58655,0.055,0.4628
Low,Riesgo,0,0.41667,0.42105,0.383,0.988,0.71429,0.10526,0.17241,0.44444,0.52912,0.25,0.2866,0.42178,0.26623,0.41667,0.42105,0.383,0.988,0.71429,0.10526,0.17241,0.44444,0.52912,0.25,0.2866
Medium,Riesgo,0,0.58333,0.73684,0.326,0.6,0.85714,0.57895,0.75862,0.66667,0.37654,0.175,0.6017,0.36642,0.65595,0.58333,0.73684,0.326,0.6,0.85714,0.57895,0.75862,0.66667,0.37654,0.175,0.6017
Low,Riesgo,0,0.95833,0.10526,0.499,0.514,0.85714,0.36842,0.86207,0.11111,0.1854,0.925,0.1977,0.46649,0.65024,0.95833,0.10526,0.499,0.514,0.85714,0.36842,0.86207,0.11111,0.1854,0.925,0.1977
Medium,Riesgo,0,0.20833,0.52632,0.535,0.178,0.28571,0.78947,0.06897,0.11111,0.63823,0.85,0.5556,0.11191,0.1715,0.20833,0.52632,0.535,0.178,0.28571,0.78947,0.06897,0.11111,0.63823,0.85,0.5556
Medium,Riesgo,0,0.91667,0.63158,0.919,0.566,0.28571,0.0,0.68966,0.55556,0.94011,0.32,0.5824,0.14751,0.71791,0.91667,0.63158,0.919,0.566,0.28571,0.0,0.68966,0.55556,0.94011,0.32,0.5824
High,Riesgo,1,0.08333,0.52632,0.686,0.44,0.0,0.84211,0.41379,1.0,0.81132,0.835,0.8614,0.14507,0.58406,0.08333,0.52632,0.686,0.44,0.0,0.84211,0.41379,1.0,0.81132,0.835,0.8614
,Riesgo,0,0.66667,1.0,0.744,0.128,1.0,0.26316,0.37931,0.22222,0.57014,0.21,0.6538,0.11372,0.42715,0.66667,1.0,0.744,0.128,1.0,0.26316,0.37931,0.22222,0.57014,0.21,0.6538
Medium,Riesgo,0,0.16667,0.0,0.834,0.464,1.0,0.0,0.24138,0.77778,0.80722,0.2,0.6154,0.15268,0.46733,0.16667,0.0,0.834,0.464,1.0,0.0,0.24138,0.77778,0.80722,0.2,0.6154
Medium,Riesgo,0,0.45833,0.84211,0.352,0.164,0.14286,0.73684,0.03448,0.22222,0.37982,0.77,0.3875,0.19035,0.1328,0.45833,0.84211,0.352,0.164,0.14286,0.73684,0.03448,0.22222,0.37982,0.77,0.3875
Medium,Riesgo,0,0.70833,0.63158,0.063,0.73,0.28571,0.63158,0.2069,1.0,0.20098,0.325,0.4693,0.55945,0.32544,0.70833,0.63158,0.063,0.73,0.28571,0.63158,0.2069,1.0,0.20098,0.325,0.4693
Medium,Riesgo,0,0.54167,0.0,0.623,0.974,0.0,0.26316,0.96552,0.33333,0.7621,0.065,0.4127,0.30941,0.78219,0.54167,0.0,0.623,0.974,0.0,0.26316,0.96552,0.33333,0.7621,0.065,0.4127
Medium,Riesgo,0,0.83333,0.47368,0.189,0.47,0.0,0.63158,0.55172,0.66667,0.25923,0.72,0.4036,0.38696,0.50011,0.83333,0.47368,0.189,0.47,0.0,0.63158,0.55172,0.66667,0.25923,0.72,0.4036
Low,Riesgo,0,0.95833,0.73684,0.569,0.632,0.57143,0.15789,0.2069,0.0,0.621,0.99,0.2004,0.26073,0.24212,0.95833,0.73684,0.569,0.632,0.57143,0.15789,0.2069,0.0,0.621,0.99,0.2004
Low,Riesgo,0,0.41667,0.31579,0.74,0.43,0.71429,0.0,0.0,0.0,0.65053,0.565,0.3105,0.18698,0.15141,0.41667,0.31579,0.74,0.43,0.71429,0.0,0.0,0.0,0.65053,0.565,0.3105
High,Riesgo,1,0.33333,0.89474,0.784,0.138,0.57143,0.47368,0.10345,0.88889,0.67104,0.51,0.9586,0.09155,0.39332,0.33333,0.89474,0.784,0.138,0.57143,0.47368,0.10345,0.88889,0.67104,0.51,0.9586
Low,Riesgo,0,0.04167,0.78947,0.302,0.97,0.71429,0.15789,0.48276,0.55556,0.28712,0.375,0.1467,0.58933,0.46056,0.04167,0.78947,0.302,0.97,0.71429,0.15789,0.48276,0.55556,0.28712,0.375,0.1467
Medium,Riesgo,0,0.45833,0.52632,0.512,0.13,0.14286,0.63158,0.10345,0.44444,0.36177,0.65,0.5375,0.18402,0.25122,0.45833,0.52632,0.512,0.13,0.14286,0.63158,0.10345,0.44444,0.36177,0.65,0.5375
Medium,Riesgo,0,0.08333,0.89474,0.621,0.112,0.14286,0.15789,0.37931,0.11111,0.5324,0.7,0.5121,0.11884,0.38,0.08333,0.89474,0.621,0.112,0.14286,0.15789,0.37931,0.11111,0.5324,0.7,0.5121
High,Riesgo,1,0.08333,0.31579,0.819,0.46,0.14286,0.78947,0.51724,0.11111,0.65792,0.885,0.7359,0.19392,0.50645,0.08333,0.31579,0.819,0.46,0.14286,0.78947,0.51724,0.11111,0.65792,0.885,0.7359
Medium,Riesgo,0,0.0,0.84211,0.761,0.658,0.0,0.42105,0.68966,0.66667,0.70386,0.91,0.5579,0.23867,0.70565,0.0,0.84211,0.761,0.658,0.0,0.42105,0.68966,0.66667,0.70386,0.91,0.5579
Medium,Riesgo,0,0.29167,0.89474,0.988,0.354,0.0,0.15789,0.58621,0.55556,0.89089,0.86,0.5386,0.1042,0.66906,0.29167,0.89474,0.988,0.354,0.0,0.15789,0.58621,0.55556,0.89089,0.86,0.5386
Medium,Riesgo,0,0.875,0.57895,0.008,0.192,1.0,1.0,0.44828,0.77778,0.18704,0.65,0.6453,0.30339,0.41954,0.875,0.57895,0.008,0.192,1.0,1.0,0.44828,0.77778,0.18704,0.65,0.6453
Low,Riesgo,0,0.29167,0.36842,0.437,0.818,0.57143,0.36842,0.44828,0.22222,0.45283,0.45,0.3385,0.40507,0.40453,0.29167,0.36842,0.437,0.818,0.57143,0.36842,0.44828,0.22222,0.45283,0.45,0.3385
Medium,Riesgo,0,0.41667,0.05263,0.256,0.364,0.28571,0.15789,0.93103,0.22222,0.29122,0.68,0.398,0.31845,0.6623,0.41667,0.05263,0.256,0.364,0.28571,0.15789,0.93103,0.22222,0.29122,0.68,0.398
Medium,Riesgo,0,0.33333,0.31579,0.12,0.194,0.85714,0.42105,0.34483,0.44444,0.10418,0.665,0.4971,0.36639,0.31635,0.33333,0.31579,0.12,0.194,0.85714,0.42105,0.34483,0.44444,0.10418,0.665,0.4971
High,Riesgo,1,0.16667,0.15789,0.912,0.366,0.71429,0.52632,0.93103,1.0,0.95734,0.22,1.0,0.09411,0.94904,0.16667,0.15789,0.912,0.366,0.71429,0.52632,0.93103,1.0,0.95734,0.22,1.0
Medium,Riesgo,0,0.54167,0.89474,0.998,0.214,0.71429,0.21053,0.51724,0.33333,0.77769,0.51,0.6997,0.09013,0.58659,0.54167,0.89474,0.998,0.214,0.71429,0.21053,0.51724,0.33333,0.77769,0.51,0.6997
Low,Riesgo,0,0.08333,0.26316,0.181,0.52,0.14286,0.42105,0.48276,0.77778,0.40033,0.21,0.3459,0.32129,0.47727,0.08333,0.26316,0.181,0.52,0.14286,0.42105,0.48276,0.77778,0.40033,0.21,0.3459
Low,Riesgo,0,0.83333,0.42105,0.038,0.668,1.0,0.36842,0.72414,0.55556,0.11649,0.9,0.2457,0.6189,0.55276,0.83333,0.42105,0.038,0.668,1.0,0.36842,0.72414,0.55556,0.11649,0.9,0.2457
Medium,Riesgo,0,0.16667,0.42105,0.275,0.8,0.71429,0.15789,0.17241,0.77778,0.21575,0.325,0.4546,0.579,0.30683,0.16667,0.42105,0.275,0.8,0.71429,0.15789,0.17241,0.77778,0.21575,0.325,0.4546
High,Riesgo,1,0.16667,0.68421,0.835,0.228,0.42857,1.0,1.0,0.66667,0.73093,0.805,1.0,0.10449,0.91161,0.16667,0.68421,0.835,0.228,0.42857,1.0,1.0,0.66667,0.73093,0.805,1.0
Low,Riesgo,0,0.75,0.36842,0.294,0.166,0.14286,0.0,0.7931,0.11111,0.17555,0.375,0.081,0.29788,0.5646,0.75,0.36842,0.294,0.166,0.14286,0.0,0.7931,0.11111,0.17555,0.375,0.081
Medium,Riesgo,0,0.54167,0.94737,0.057,0.02,0.85714,1.0,0.41379,0.88889,0.03117,0.765,0.4983,0.32507,0.4299,0.54167,0.94737,0.057,0.02,0.85714,1.0,0.41379,0.88889,0.03117,0.765,0.4983
Medium,Riesgo,0,0.125,0.10526,0.052,0.228,0.71429,0.63158,0.86207,0.55556,0.08203,0.22,0.4633,0.40551,0.6403,0.125,0.10526,0.052,0.228,0.71429,0.63158,0.86207,0.55556,0.08203,0.22,0.4633
Medium,Riesgo,0,1.0,0.89474,0.427,0.024,0.57143,0.21053,0.93103,0.55556,0.46185,0.765,0.5883,0.1081,0.76189,1.0,0.89474,0.427,0.024,0.57143,0.21053,0.93103,0.55556,0.46185,0.765,0.5883
High,Riesgo,1,0.5,0.21053,0.932,0.346,0.71429,1.0,0.55172,0.11111,0.73667,0.18,0.8717,0.13735,0.55149,0.5,0.21053,0.932,0.346,0.71429,1.0,0.55172,0.11111,0.73667,0.18,0.8717
Medium,Riesgo,0,0.375,0.68421,0.286,0.146,0.0,0.47368,0.10345,0.88889,0.50533,0.49,0.5701,0.13877,0.28801,0.375,0.68421,0.286,0.146,0.0,0.47368,0.10345,0.88889,0.50533,0.49,0.5701
Medium,Riesgo,0,1.0,0.15789,0.427,0.58,0.57143,0.78947,0.37931,0.0,0.55701,0.115,0.53795,0.26927,0.31783,1.0,0.15789,0.427,0.58,0.57143,0.78947,0.37931,0.0,0.55701,0.115,0.53795
Low,Riesgo,0,0.70833,0.31579,0.102,0.384,0.57143,0.36842,0.58621,0.55556,0.20098,0.53,0.3018,0.38892,0.48171,0.70833,0.31579,0.102,0.384,0.57143,0.36842,0.58621,0.55556,0.20098,0.53,0.3018
Medium,Riesgo,0,0.29167,1.0,0.494,0.094,0.57143,0.57895,0.89655,0.77778,0.43232,0.82,0.6173,0.14356,0.79721,0.29167,1.0,0.494,0.094,0.57143,0.57895,0.89655,0.77778,0.43232,0.82,0.6173
Low,Riesgo,0,0.29167,0.57895,0.697,0.4,0.42857,0.10526,0.24138,0.11111,0.54143,0.755,0.3477,0.21446,0.31148,0.29167,0.57895,0.697,0.4,0.42857,0.10526,0.24138,0.11111,0.54143,0.755,0.3477
Low,Riesgo,0,0.25,0.05263,0.271,0.21,0.42857,0.15789,0.37931,0.22222,0.15669,0.05,0.3288,0.33382,0.32713,0.25,0.05263,0.271,0.21,0.42857,0.15789,0.37931,0.22222,0.15669,0.05,0.3288
High,Riesgo,1,0.29167,0.52632,0.297,0.68,0.71429,0.84211,0.10345,1.0,0.41345,0.49,0.7626,0.37605,0.31148,0.29167,0.52632,0.297,0.68,0.71429,0.84211,0.10345,1.0,0.41345,0.49,0.7626
High,Riesgo,1,0.54167,0.68421,0.842,0.364,0.57143,1.0,1.0,1.0,0.82609,0.85,0.9313,0.12086,0.97653,0.54167,0.68421,0.842,0.364,0.57143,1.0,1.0,1.0,0.82609,0.85,0.9313
Medium,Riesgo,0,0.75,0.78947,0.01,0.148,1.0,0.63158,0.24138,0.66667,0.09434,0.65,0.3968,0.34844,0.27194,0.75,0.78947,0.01,0.148,1.0,0.63158,0.24138,0.66667,0.09434,0.65,0.3968
Low,Riesgo,0,0.20833,1.0,0.636,0.35,0.71429,0.26316,0.96552,0.0,0.48482,0.06,0.3299,0.2186,0.72151,0.20833,1.0,0.636,0.35,0.71429,0.26316,0.96552,0.0,0.48482,0.06,0.3299
Medium,Riesgo,0,0.0,0.26316,0.394,0.492,0.71429,0.10526,0.03448,0.44444,0.32075,0.325,0.5279,0.35583,0.18397,0.0,0.26316,0.394,0.492,0.71429,0.10526,0.03448,0.44444,0.32075,0.325,0.5279
,Riesgo,0,0.91667,0.15789,0.298,0.796,1.0,0.68421,0.96552,0.55556,0.44135,0.555,0.4428,0.40369,0.75576,0.91667,0.15789,0.298,0.796,1.0,0.68421,0.96552,0.55556,0.44135,0.555,0.4428
High,Riesgo,1,0.58333,0.73684,0.658,0.984,1.0,0.31579,1.0,1.0,0.62674,0.175,0.7363,0.36993,0.93762,0.58333,0.73684,0.658,0.984,1.0,0.31579,1.0,1.0,0.62674,0.175,0.7363
Medium,Riesgo,0,0.0,0.0,0.835,0.026,0.71429,0.10526,0.10345,0.66667,0.93027,0.68,0.5451,0.01363,0.36181,0.0,0.0,0.835,0.026,0.71429,0.10526,0.10345,0.66667,0.93027,0.68,0.5451
High,Riesgo,1,1.0,0.31579,0.499,0.69,1.0,0.26316,0.37931,1.0,0.71534,0.635,0.7845,0.2442,0.52337,1.0,0.31579,0.499,0.69,1.0,0.26316,0.37931,1.0,0.71534,0.635,0.7845
High,Riesgo,1,0.66667,0.57895,0.031,0.264,0.85714,0.63158,0.82759,1.0,0.21739,0.2,0.8911,0.31875,0.6993,0.66667,0.57895,0.031,0.264,0.85714,0.63158,0.82759,1.0,0.21739,0.2,0.8911
Medium,Riesgo,0,0.0,0.47368,0.461,0.066,0.0,0.68421,0.68966,0.66667,0.39212,0.55,0.6752,0.14676,0.64221,0.0,0.47368,0.461,0.066,0.0,0.68421,0.68966,0.66667,0.39212,0.55,0.6752
Medium,Riesgo,0,0.58333,0.21053,0.463,0.014,0.57143,0.73684,0.72414,0.22222,0.38474,0.81,0.5788,0.12876,0.57919,0.58333,0.21053,0.463,0.014,0.57143,0.73684,0.72414,0.22222,0.38474,0.81,0.5788
High,Riesgo,1,0.91667,0.57895,0.544,0.882,0.28571,0.78947,0.31034,0.66667,0.45857,0.375,0.762,0.42529,0.42715,0.91667,0.57895,0.544,0.882,0.28571,0.78947,0.31034,0.66667,0.45857,0.375,0.762
Medium,Riesgo,0,0.04167,0.89474,0.671,0.354,0.85714,0.0,0.48276,0.0,0.80394,0.245,0.3506,0.12322,0.43286,0.04167,0.89474,0.671,0.354,0.85714,0.0,0.48276,0.0,0.80394,0.245,0.3506
Low,Riesgo,0,0.54167,0.47368,0.019,0.994,0.14286,0.73684,0.48276,0.33333,0.05496,0.7,0.1757,0.89858,0.35843,0.54167,0.47368,0.019,0.994,0.14286,0.73684,0.48276,0.33333,0.05496,0.7,0.1757
Low,Riesgo,0,0.83333,0.26316,0.502,0.442,0.14286,0.31579,0.27586,0.66667,0.57342,0.07,0.239,0.21686,0.39712,0.83333,0.26316,0.502,0.442,0.14286,0.31579,0.27586,0.66667,0.57342,0.07,0.239
Medium,Riesgo,0,0.29167,0.57895,0.588,0.188,0.57143,0.42105,0.27586,0.66667,0.72683,0.835,0.6252,0.09377,0.41531,0.29167,0.57895,0.588,0.188,0.57143,0.42105,0.27586,0.66667,0.72683,0.835,0.6252
Medium,Riesgo,0,0.29167,0.31579,0.343,0.778,0.14286,0.73684,0.2069,0.33333,0.4799,0.945,0.4671,0.37506,0.25777,0.29167,0.31579,0.343,0.778,0.14286,0.73684,0.2069,0.33333,0.4799,0.945,0.4671
Medium,Riesgo,0,0.75,0.89474,0.668,0.926,0.57143,0.68421,0.89655,0.0,0.6735,0.965,0.3863,0.33091,0.68598,0.75,0.89474,0.668,0.926,0.57143,0.68421,0.89655,0.0,0.6735,0.965,0.3863
Medium,Riesgo,0,0.25,0.05263,0.228,0.816,0.14286,0.94737,0.03448,0.77778,0.17227,0.435,0.4929,0.63295,0.21231,0.25,0.05263,0.228,0.816,0.14286,0.94737,0.03448,0.77778,0.17227,0.435,0.4929
